,STATE,COUNTY,YEAR,MME_Str
125,UT,SANPETE,2012,12845.51581500023
126,UT,SEVIER,2006,5328.853086000026
127,UT,SEVIER,2007,6124.703779075042
128,UT,SEVIER,2008,6570.521159762541
129,UT,SEVIER,2009,7953.77287500004
130,UT,SEVIER,2010,8487.054191362555
131,UT,SEVIER,2011,9340.289700000078
132,UT,SEVIER,2012,10181.079660000081
133,UT,SUMMIT,2006,9277.16814522518
134,UT,SUMMIT,2007,10745.770087712679
135,UT,SUMMIT,2008,10632.635397475204
136,UT,SUMMIT,2009,11206.903490662678
137,UT,SUMMIT,2010,10555.125957712688
138,UT,SUMMIT,2011,11369.36628611269
139,UT,SUMMIT,2012,12310.097720437703
140,UT,TOOELE,2006,22183.682057500337
141,UT,TOOELE,2007,23074.011776500367
142,UT,TOOELE,2008,22302.348347862837
143,UT,TOOELE,2009,24310.419427950204
144,UT,TOOELE,2010,27378.72658927526
145,UT,TOOELE,2011,29824.259733150204
146,UT,TOOELE,2012,29630.43675090037
147,UT,UINTAH,2006,4947.155896362519
148,UT,UINTAH,2007,5898.438037500031
149,UT,UINTAH,2008,6566.839675000066
150,UT,UINTAH,2009,7527.054300000131
151,UT,UINTAH,2010,7381.043587500113
152,UT,UINTAH,2011,8102.11272750016
153,UT,UINTAH,2012,8834.433885225144
154,UT,UTAH,2006,128229.54238476188
155,UT,UTAH,2007,142165.73293881156
156,UT,UTAH,2008,156944.94862683667
157,UT,UTAH,2009,167173.50257701537
158,UT,UTAH,2010,168080.69825251398
159,UT,UTAH,2011,163675.52652409903
160,UT,UTAH,2012,181692.3122165717
161,UT,WASATCH,2006,5926.119287500049
162,UT,WASATCH,2007,6483.0996000000505
163,UT,WASATCH,2008,6439.140071862534
164,UT,WASATCH,2009,6444.947902500026
165,UT,WASATCH,2010,6086.630040000028
166,UT,WASATCH,2011,6851.884170225046
167,UT,WASATCH,2012,7351.228353862533
168,UT,WASHINGTON,2006,48038.87421000271
169,UT,WASHINGTON,2007,53147.037077627836
170,UT,WASHINGTON,2008,58464.55035926525
171,UT,WASHINGTON,2009,66573.54911704037
172,UT,WASHINGTON,2010,74741.46582817833
173,UT,WASHINGTON,2011,80426.89282909014
174,UT,WASHINGTON,2012,88756.07292791444
175,UT,WAYNE,2006,741.0286875000005
176,UT,WAYNE,2007,778.9374300000003
177,UT,WAYNE,2008,845.2192875000003
178,UT,WAYNE,2009,876.4683525000014
179,UT,WAYNE,2010,1095.695752500002
180,UT,WAYNE,2011,1154.3081325000014
181,UT,WAYNE,2012,1136.057820000001
182,UT,WEBER,2006,96337.53202031893
183,UT,WEBER,2007,116070.53541458341
184,UT,WEBER,2008,117160.7148631086
185,UT,WEBER,2009,126012.54128813407
186,UT,WEBER,2010,137875.30703550918
187,UT,WEBER,2011,142330.79148315702
188,UT,WEBER,2012,149366.19535268
189,NM,BERNALILLO,2006,191571.43402794146
190,NM,BERNALILLO,2007,224608.66025232009
191,NM,BERNALILLO,2008,266406.4538412851
192,NM,BERNALILLO,2009,323607.51274128415
193,NM,BERNALILLO,2010,377700.1457172422
194,NM,BERNALILLO,2011,360432.8435997384
195,NM,BERNALILLO,2012,351515.68873222504
196,NM,CATRON,2008,1.34475
197,NM,CATRON,2009,2.6895
198,NM,CHAVES,2006,14872.476862500265
199,NM,CHAVES,2007,17854.64596986279
200,NM,CHAVES,2008,21693.514376400537
201,NM,CHAVES,2009,22955.118795225695
202,NM,CHAVES,2010,24613.97990636324
203,NM,CHAVES,2011,26148.952012725713
204,NM,CHAVES,2012,24879.014756812958
205,NM,CIBOLA,2006,2622.670772500003
206,NM,CIBOLA,2007,2347.4121750000077
207,NM,CIBOLA,2008,2512.8972344999997
208,NM,CIBOLA,2009,3031.761
209,NM,CIBOLA,2010,3723.7809000000047
210,NM,CIBOLA,2011,4652.905249762517
211,NM,CIBOLA,2012,4850.294073862515
212,NM,COLFAX,2006,3050.7597090000027
213,NM,COLFAX,2007,3357.4448288625063
214,NM,COLFAX,2008,3588.8919585000085
215,NM,COLFAX,2009,5002.032801000001
216,NM,COLFAX,2010,5853.923223000017
217,NM,COLFAX,2011,5461.609851000019
218,NM,COLFAX,2012,5617.660898362512
219,NM,CURRY,2006,6338.893955000047
220,NM,CURRY,2007,8213.700761500091
221,NM,CURRY,2008,10600.13759700015
222,NM,CURRY,2009,12541.540012500187
223,NM,CURRY,2010,14760.016762500198
224,NM,CURRY,2011,16283.575702500173
225,NM,CURRY,2012,16276.250115450062
226,NM,DE BACA,2006,271.5284999999999
227,NM,DE BACA,2007,313.68314099999986
228,NM,DE BACA,2008,455.04776249999946
229,NM,DE BACA,2009,543.2939779499999
230,NM,DE BACA,2010,651.6256781625008
231,NM,DE BACA,2011,862.6139233875028
232,NM,DE BACA,2012,1135.3877493000036
233,NM,DONA ANA,2006,29589.065977401155
234,NM,DONA ANA,2007,37281.37421831437
235,NM,DONA ANA,2008,44196.133789489686
236,NM,DONA ANA,2009,55577.13468431459
237,NM,DONA ANA,2010,69314.09438407749
238,NM,DONA ANA,2011,103945.85953721583
239,NM,DONA ANA,2012,87110.32875694026
240,NM,EDDY,2006,10983.401312500206
241,NM,EDDY,2007,13054.952168975242
242,NM,EDDY,2008,14877.959691312819
243,NM,EDDY,2009,16891.163299087835
244,NM,EDDY,2010,20134.613250225546
245,NM,EDDY,2011,23653.75294500072
246,NM,EDDY,2012,27527.010030000565
247,NM,GRANT,2006,10253.420503862591
248,NM,GRANT,2007,11600.5107000001
249,NM,GRANT,2008,13876.942380000153
250,NM,GRANT,2009,15526.094167500214
251,NM,GRANT,2010,18527.106176587735
252,NM,GRANT,2011,20999.128339537845
253,NM,GRANT,2012,19824.774232237793
254,NM,GUADALUPE,2006,502.78226249999983
255,NM,GUADALUPE,2007,565.6023749999995
256,NM,GUADALUPE,2008,525.9806999999996
257,NM,GUADALUPE,2009,481.5274499999995
258,NM,GUADALUPE,2010,489.95925386249934
259,NM,GUADALUPE,2011,551.827724999999
260,NM,GUADALUPE,2012,675.1194413625
261,NM,HIDALGO,2006,877.1739625000002
262,NM,HIDALGO,2007,705.5764240875001
263,NM,HIDALGO,2008,150.26430000000002
264,NM,LEA,2006,10424.742879725156
265,NM,LEA,2007,11364.949195087709
266,NM,LEA,2008,12312.049665225326
267,NM,LEA,2009,13249.12424636274
268,NM,LEA,2010,16103.203642500237
269,NM,LEA,2011,19348.059544762764
270,NM,LEA,2012,20074.509787012714
271,NM,LINCOLN,2006,6213.59371250004
272,NM,LINCOLN,2007,7486.987819000081
273,NM,LINCOLN,2008,9085.785260000084
274,NM,LINCOLN,2009,9574.553437500106
275,NM,LINCOLN,2010,10495.336537500114
276,NM,LINCOLN,2011,12350.61719636262
277,NM,LINCOLN,2012,12782.096079037567
278,NM,LOS ALAMOS,2006,3155.264724362506
279,NM,LOS ALAMOS,2007,4175.685964999992
280,NM,LOS ALAMOS,2008,4325.398882724999
281,NM,LOS ALAMOS,2009,5207.661983850025
282,NM,LOS ALAMOS,2010,5681.045015662527
283,NM,LOS ALAMOS,2011,5035.343926125012
284,NM,LOS ALAMOS,2012,4820.101328850012
285,NM,LUNA,2006,4232.565674999984
286,NM,LUNA,2007,4740.579580087506
287,NM,LUNA,2008,4944.09840000002
288,NM,LUNA,2009,6055.776956362559
289,NM,LUNA,2010,9254.653695225117
290,NM,LUNA,2011,10683.2698320376
291,NM,LUNA,2012,11073.668070000054
292,NM,MCKINLEY,2006,8621.664662500065
293,NM,MCKINLEY,2007,10435.444036000052
294,NM,MCKINLEY,2008,10230.146625000083
295,NM,MCKINLEY,2009,9511.838362500073
296,NM,MCKINLEY,2010,9582.422265000068
297,NM,MCKINLEY,2011,10160.86451250009
298,NM,MCKINLEY,2012,11545.01915703755
299,NM,OTERO,2006,12889.44095067516
300,NM,OTERO,2007,14501.905650087694
301,NM,OTERO,2008,16193.911000662765
302,NM,OTERO,2009,19962.974725425396
303,NM,OTERO,2010,24669.068687025498
304,NM,OTERO,2011,31540.872751575524
305,NM,OTERO,2012,25360.645721550234
306,NM,QUAY,2006,2378.560773000006
307,NM,QUAY,2007,2689.9409205000047
308,NM,QUAY,2008,3119.092728000006
309,NM,QUAY,2009,3097.6829813625063
310,NM,QUAY,2010,3774.3712138500146
311,NM,QUAY,2011,3763.8535204500126
312,NM,QUAY,2012,3588.2382188625147
313,NM,RIO ARRIBA,2006,15883.02885800014
314,NM,RIO ARRIBA,2007,16265.429233862658
315,NM,RIO ARRIBA,2008,14123.964717000114
316,NM,RIO ARRIBA,2009,14692.362262500137
317,NM,RIO ARRIBA,2010,15472.785630000128
318,NM,RIO ARRIBA,2011,17655.042184312693
319,NM,RIO ARRIBA,2012,18955.779679987674
320,NM,ROOSEVELT,2006,2571.689325000007
321,NM,ROOSEVELT,2007,3091.6481025000035
322,NM,ROOSEVELT,2008,3321.294577500008
323,NM,ROOSEVELT,2009,3035.918077500009
324,NM,ROOSEVELT,2010,3212.965462500003
325,NM,ROOSEVELT,2011,4064.937765000012
326,NM,ROOSEVELT,2012,4210.70506500002
327,NM,SAN JUAN,2006,25349.31351167579
328,NM,SAN JUAN,2007,28013.09084717603
329,NM,SAN JUAN,2008,27577.28190400105
330,NM,SAN JUAN,2009,28028.00049000083
331,NM,SAN JUAN,2010,27936.658740000872
332,NM,SAN JUAN,2011,30094.769291588444
333,NM,SAN JUAN,2012,29126.361629738454
334,NM,SAN MIGUEL,2006,7124.269112500071
335,NM,SAN MIGUEL,2007,8317.354726037605
336,NM,SAN MIGUEL,2008,8711.044138900123
337,NM,SAN MIGUEL,2009,10096.50599726263
338,NM,SAN MIGUEL,2010,12023.642719312675
339,NM,SAN MIGUEL,2011,13450.600396350183
340,NM,SAN MIGUEL,2012,12801.705281812665
341,NM,SANDOVAL,2006,21082.122145725476
342,NM,SANDOVAL,2007,26024.95909822578
343,NM,SANDOVAL,2008,29878.75271250097
344,NM,SANDOVAL,2009,35730.49869386368
345,NM,SANDOVAL,2010,42364.873628400994
346,NM,SANDOVAL,2011,48312.14985840105
347,NM,SANDOVAL,2012,49221.353783400584
348,NM,SANTA FE,2006,37762.39609068901
349,NM,SANTA FE,2007,46308.95894785218
350,NM,SANTA FE,2008,56221.371925577725
351,NM,SANTA FE,2009,64568.42061994044
352,NM,SANTA FE,2010,73875.99651064078
353,NM,SANTA FE,2011,84197.65826516566
354,NM,SANTA FE,2012,92323.14173167733
355,NM,SIERRA,2006,3861.7314695000014
356,NM,SIERRA,2007,5147.608351500018
357,NM,SIERRA,2008,6926.744179837529
358,NM,SIERRA,2009,9075.567019087563
359,NM,SIERRA,2010,11628.113760000104
360,NM,SIERRA,2011,13310.087250225091
361,NM,SIERRA,2012,13088.417486362543
362,NM,SOCORRO,2006,4345.653943399998
363,NM,SOCORRO,2007,5827.370321625038
364,NM,SOCORRO,2008,6518.642952000065
365,NM,SOCORRO,2009,6422.916150000044
366,NM,SOCORRO,2010,6979.1901600000665
367,NM,SOCORRO,2011,6963.253897500069
368,NM,SOCORRO,2012,6410.706596812543
369,NM,TAOS,2006,8337.869497500105
370,NM,TAOS,2007,10081.237195000118
371,NM,TAOS,2008,11536.12536750011
372,NM,TAOS,2009,14387.620335000207
373,NM,TAOS,2010,16698.526012500202
374,NM,TAOS,2011,17919.55000567529
375,NM,TAOS,2012,18078.358826587788
376,NM,TORRANCE,2006,1718.6340750000024
377,NM,TORRANCE,2007,2502.02335203751
378,NM,TORRANCE,2008,3305.046130200011
379,NM,TORRANCE,2009,2957.43032883751
380,NM,TORRANCE,2010,2567.1148511250058
381,NM,TORRANCE,2011,2522.2131347625054
382,NM,TORRANCE,2012,2588.323923862504
383,NM,UNION,2006,637.9495529999999
384,NM,UNION,2007,748.5831943124994
385,NM,UNION,2008,597.899273175
386,NM,UNION,2009,660.494602949999
387,NM,UNION,2010,540.267674999999
388,NM,UNION,2011,548.1818624999995
389,NM,UNION,2012,466.7512874999991
390,NM,VALENCIA,2006,21930.394377950382
391,NM,VALENCIA,2007,25881.94231426303
392,NM,VALENCIA,2008,28409.303291362983
393,NM,VALENCIA,2009,34998.67861500069
394,NM,VALENCIA,2010,41671.61688000083
395,NM,VALENCIA,2011,43788.32442817581
396,NM,VALENCIA,2012,42202.77091976334
397,SC,ABBEVILLE,2006,3136.21538936251
398,SC,ABBEVILLE,2007,3228.788996862507
399,SC,ABBEVILLE,2008,3070.379709262506
400,SC,ABBEVILLE,2009,3827.607064987507
401,SC,ABBEVILLE,2010,4657.525812487521
402,SC,ABBEVILLE,2011,4833.266017500018
403,SC,ABBEVILLE,2012,4835.180167500024
404,SC,AIKEN,2006,28106.759579351314
405,SC,AIKEN,2007,35225.810751302066
406,SC,AIKEN,2008,40748.31945932763
407,SC,AIKEN,2009,47083.04550720228
408,SC,AIKEN,2010,55427.03326560198
409,SC,AIKEN,2011,63048.09323917692
410,SC,AIKEN,2012,70083.2239414151
411,SC,ALLENDALE,2006,1251.1885455000024
412,SC,ALLENDALE,2007,1507.983363000001
413,SC,ALLENDALE,2008,3375.1215974999973
414,SC,ALLENDALE,2009,2153.477940000004
415,SC,ALLENDALE,2010,2126.6238825000014
416,SC,ALLENDALE,2011,2680.2835949999994
417,SC,ALLENDALE,2012,2997.6994650000015
418,SC,ANDERSON,2006,58870.65556622831
419,SC,ANDERSON,2007,61807.15778109088
420,SC,ANDERSON,2008,66875.66893336596
421,SC,ANDERSON,2009,76478.61848475435
422,SC,ANDERSON,2010,80556.28556059173
423,SC,ANDERSON,2011,85944.75086250485
424,SC,ANDERSON,2012,89378.30708816797
425,SC,BAMBERG,2006,2997.5212455000055
426,SC,BAMBERG,2007,3007.954390500008
427,SC,BAMBERG,2008,3661.9709400000065
428,SC,BAMBERG,2009,4813.055891362516
429,SC,BAMBERG,2010,4545.679211362519
430,SC,BAMBERG,2011,4613.26742250003
431,SC,BAMBERG,2012,5189.053995000027
432,SC,BARNWELL,2006,6603.793173500088
433,SC,BARNWELL,2007,8135.065697950109
434,SC,BARNWELL,2008,9828.988203862655
435,SC,BARNWELL,2009,11217.530516250124
436,SC,BARNWELL,2010,12222.07385250016
437,SC,BARNWELL,2011,11894.181986362684
438,SC,BARNWELL,2012,11429.600685225103
439,SC,BEAUFORT,2006,27947.029025801447
440,SC,BEAUFORT,2007,29989.754073314227
441,SC,BEAUFORT,2008,32565.457910589204
442,SC,BEAUFORT,2009,35096.441224088965
443,SC,BEAUFORT,2010,37106.947811363614
444,SC,BEAUFORT,2011,38085.59478022616
445,SC,BEAUFORT,2012,39764.573816363634
446,SC,BERKELEY,2006,23107.337092813414
447,SC,BERKELEY,2007,27622.94850011359
448,SC,BERKELEY,2008,34044.693043613814
449,SC,BERKELEY,2009,40068.84210408846
450,SC,BERKELEY,2010,45691.9936847635
451,SC,BERKELEY,2011,52168.044624076116
452,SC,BERKELEY,2012,58496.54755522626
453,SC,CALHOUN,2006,3143.718352499999
454,SC,CALHOUN,2007,2898.0512085000023
455,SC,CALHOUN,2008,2848.881169500005
456,SC,CALHOUN,2009,3089.5768500000045
457,SC,CALHOUN,2010,2641.6909875000047
458,SC,CALHOUN,2011,2326.2141377250036
459,SC,CALHOUN,2012,2352.6615225000055
460,SC,CHARLESTON,2006,160034.48033621671
461,SC,CHARLESTON,2007,210287.0044132709
462,SC,CHARLESTON,2008,269832.5634108965
463,SC,CHARLESTON,2009,512189.96288061194
464,SC,CHARLESTON,2010,559474.1053487343
465,SC,CHARLESTON,2011,616160.5124615583
466,SC,CHARLESTON,2012,689301.3106653445
467,SC,CHEROKEE,2006,20847.822622362764
468,SC,CHEROKEE,2007,22473.787524225074
469,SC,CHEROKEE,2008,23867.664060087638
470,SC,CHEROKEE,2009,26424.10660500013
471,SC,CHEROKEE,2010,28122.1927013627
472,SC,CHEROKEE,2011,29962.15595295015
473,SC,CHEROKEE,2012,31774.22790408774
474,SC,CHESTER,2006,4339.931184499995
475,SC,CHESTER,2007,4890.905522000028
